,s,a,r,s1
63,[-4.4612703e-01  4.7541118e-05],[-0.46546346],-0.021665623212200915,[-0.4473535  -0.00122648]
64,[-0.4473535  -0.00122648],[0.01638451],-2.6845223957483456e-05,[-0.44912228 -0.00176876]
65,[-0.44912228 -0.00176876],[-0.3791452],-0.014375108649034374,[-0.4520137  -0.00289142]
66,[-0.4520137  -0.00289142],[-0.17591956],-0.003094769249770568,[-0.45570177 -0.00368807]
67,[-0.45570177 -0.00368807],[-0.02443681],-5.971574580241473e-05,[-0.4599322  -0.00423044]
68,[-0.4599322  -0.00423044],[-0.34948817],-0.012214198023941325,[-0.46516147 -0.00522927]
69,[-0.46516147 -0.00522927],[0.22518484],-0.0050708213491779345,[-0.470489   -0.00532753]
70,[-0.470489   -0.00532753],[0.14944981],-0.002233524582432289,[-0.47598898 -0.0055    ]
71,[-0.47598898 -0.0055    ],[-0.3971372],-0.015771795155072346,[-0.48244056 -0.00645157]
72,[-0.48244056 -0.00645157],[0.32992432],-0.01088500537695305,[-0.48870513 -0.00626458]
73,[-0.48870513 -0.00626458],[-0.8163388],-0.06664089997189536,[-0.49645543 -0.00775032]
74,[-0.49645543 -0.00775032],[-0.15907227],-0.0025303985501441643,[-0.50464773 -0.00819227]
75,[-0.50464773 -0.00819227],[0.49862158],-0.024862348301839178,[-0.51223415 -0.0075864 ]
76,[-0.51223415 -0.0075864 ],[0.03945938],-0.00015570430628276122,[-0.51984656 -0.00761243]
77,[-0.51984656 -0.00761243],[0.60202736],-0.036243693812440726,[-0.5265841  -0.00673753]
78,[-0.5265841  -0.00673753],[-0.39861694],-0.015889546468204063,[-0.53389716 -0.00731306]
79,[-0.53389716 -0.00731306],[-0.37179318],-0.013823016921808408,[-0.5416907  -0.00779353]
80,[-0.5416907  -0.00779353],[-0.95221126],-0.09067062851859334,[-0.423543   -0.00218314]
81,[-0.423543   -0.00218314],[0.27710268],-0.007678589471685005,[-0.4260497  -0.00250669]
82,[-0.4260497  -0.00250669],[-0.2310372],-0.005337818755151958,[-0.42962417 -0.00357446]
83,[-0.42962417 -0.00357446],[-0.4833403],-0.023361783900071577,[-0.43461916 -0.00499498]
84,[-0.43461916 -0.00499498],[0.9534304],-0.09090295547212578,[-0.43884346 -0.00422429]
85,[-0.43884346 -0.00422429],[0.2374666],-0.005639038778615291,[-0.4433404  -0.00449693]
86,[-0.4433404  -0.00449693],[0.27423957],-0.007520734170026433,[-0.4480221  -0.00468171]
87,[-0.4480221  -0.00468171],[0.78019],-0.060869642205238966,[-0.4520955 -0.0040734]
88,[-0.4520955 -0.0040734],[-0.67740005],-0.04588708311912946,[-0.45771718 -0.00562167]
89,[-0.45771718 -0.00562167],[0.5444965],-0.02964764130845232,[-0.46301302 -0.00529583]
