,s,a,r,s1
210,[ 0.02707577 -0.23972818  0.05179558  0.3662893 ],1,1.0,[ 0.01733126  0.19694366 -0.02617465 -0.30922043]
211,[ 0.01733126  0.19694366 -0.02617465 -0.30922043],0,1.0,[ 0.02127013  0.00220423 -0.03235906 -0.02490583]
212,[ 0.02127013  0.00220423 -0.03235906 -0.02490583],1,1.0,[ 0.02131422  0.19777493 -0.03285717 -0.3276202 ]
213,[ 0.02131422  0.19777493 -0.03285717 -0.3276202 ],1,1.0,[ 0.02526972  0.39334887 -0.03940957 -0.63048106]
214,[ 0.02526972  0.39334887 -0.03940957 -0.63048106],1,1.0,[ 0.03313669  0.58899796 -0.0520192  -0.9353102 ]
215,[ 0.03313669  0.58899796 -0.0520192  -0.9353102 ],1,1.0,[-1.6044827e-04  1.7468408e-01 -3.5193469e-02 -3.3096737e-01]
216,[-1.6044827e-04  1.7468408e-01 -3.5193469e-02 -3.3096737e-01],1,1.0,[ 0.00333323  0.37028885 -0.04181281 -0.6345376 ]
217,[ 0.00333323  0.37028885 -0.04181281 -0.6345376 ],1,1.0,[ 0.01073901  0.56596833 -0.05450357 -0.94008964]
218,[ 0.01073901  0.56596833 -0.05450357 -0.94008964],0,1.0,[ 0.02205838  0.37162173 -0.07330536 -0.66501874]
219,[ 0.02205838  0.37162173 -0.07330536 -0.66501874],1,1.0,[ 0.02949081  0.5676827  -0.08660574 -0.9798528 ]
220,[ 0.02949081  0.5676827  -0.08660574 -0.9798528 ],0,1.0,[-0.04948523 -0.24451737  0.04852135  0.29736426]
221,[-0.04948523 -0.24451737  0.04852135  0.29736426],1,1.0,[-0.05437558 -0.05011948  0.05446864  0.0203703 ]
222,[-0.05437558 -0.05011948  0.05446864  0.0203703 ],1,1.0,[-0.05537797  0.14418074  0.05487604 -0.25464192]
223,[-0.05537797  0.14418074  0.05487604 -0.25464192],0,1.0,[-0.05249435 -0.05168005  0.0497832   0.05483247]
224,[-0.05249435 -0.05168005  0.0497832   0.05483247],1,1.0,[-0.05352795  0.14269404  0.05087985 -0.22173724]
225,[-0.05352795  0.14269404  0.05087985 -0.22173724],0,1.0,[-0.04739969 -0.1794907  -0.03130343  0.24859554]
226,[-0.04739969 -0.1794907  -0.03130343  0.24859554],1,1.0,[-0.0509895   0.01606399 -0.02633152 -0.0537945 ]
227,[-0.0509895   0.01606399 -0.02633152 -0.0537945 ],0,1.0,[-0.05066822 -0.1786707  -0.02740741  0.23046571]
228,[-0.05066822 -0.1786707  -0.02740741  0.23046571],1,1.0,[-0.05424164  0.01683195 -0.0227981  -0.07073491]
229,[-0.05424164  0.01683195 -0.0227981  -0.07073491],0,1.0,[-0.053905   -0.17795587 -0.02421279  0.21466883]
230,[-0.053905   -0.17795587 -0.02421279  0.21466883],1,1.0,[-0.00701346  0.14638883 -0.02077393 -0.254163  ]
231,[-0.00701346  0.14638883 -0.02077393 -0.254163  ],0,1.0,[-0.00408568 -0.04843043 -0.02585719  0.03189576]
232,[-0.00408568 -0.04843043 -0.02585719  0.03189576],1,1.0,[-0.00505429  0.1470526  -0.02521927 -0.26883194]
233,[-0.00505429  0.1470526  -0.02521927 -0.26883194],0,1.0,[-0.00211324 -0.04770054 -0.03059591  0.01579121]
234,[-0.00211324 -0.04770054 -0.03059591  0.01579121],1,1.0,[-0.00306725  0.14784653 -0.03028009 -0.28638592]
235,[-0.00306725  0.14784653 -0.03028009 -0.28638592],0,1.0,[-0.04341348 -0.19079572  0.00351502  0.26833758]
236,[-0.04341348 -0.19079572  0.00351502  0.26833758],0,1.0,[-0.04722939 -0.38596764  0.00888177  0.5621271 ]
