,s,a,r,s1
50,[-0.7241358   0.6896574   0.39428276],[1.1821473],-5.684089415606172,[-0.760591   0.6492314  1.0888479]
51,[-0.760591   0.6492314  1.0888479],[1.5150269],-6.050172920237824,[-0.8159521  0.5781195  1.8030255]
52,[-0.8159521  0.5781195  1.8030255],[-1.6980268],-6.704459437692236,[-0.86914444  0.49455833  1.9819111 ]
53,[-0.86914444  0.49455833  1.9819111 ],[-0.04478914],-7.279571491959521,[-0.9210528  0.3894377  2.3461115]
54,[-0.9210528  0.3894377  2.3461115],[0.92244273],-8.067489800072886,[-0.9660825  0.2582335  2.7765563]
55,[-0.9660825  0.2582335  2.7765563],[1.7095277],-9.070549813038838,[-0.9950181   0.09969431  3.2266605 ]
56,[-0.9950181   0.09969431  3.2266605 ],[1.080548],-10.294437687645422,[-0.9973136  -0.07324981  3.4635134 ]
57,[-0.9973136  -0.07324981  3.4635134 ],[-1.7120539],-10.61684846964606,[-0.97345996 -0.2288575   3.151768  ]
58,[-0.97345996 -0.2288575   3.151768  ],[1.4762324],-9.467652565160593,[-0.92453533 -0.38109636  3.2015598 ]
59,[-0.92453533 -0.38109636  3.2015598 ],[1.6489819],-8.59357734621871,[-0.8529758  -0.52195054  3.1630847 ]
60,[-0.8529758  -0.52195054  3.1630847 ],[-0.22437195],-7.721391863538602,[-0.7737642 -0.6334737  2.737966 ]
61,[-0.7737642 -0.6334737  2.737966 ],[-1.8940928],-6.782999766402348,[-0.70740825 -0.70680517  1.9787468 ]
62,[-0.70740825 -0.70680517  1.9787468 ],[0.09821305],-5.9452157222835575,[-0.65384555 -0.75662804  1.4633749 ]
63,[-0.65384555 -0.75662804  1.4633749 ],[1.3208365],-5.4300450817701815,[-0.61149955 -0.7912448   1.0940293 ]
64,[-0.61149955 -0.7912448   1.0940293 ],[1.5795379],-5.089514715951966,[-0.5819122 -0.8132516  0.7375264]
65,[-0.5819122 -0.8132516  0.7375264],[0.89418477],-4.85950745788036,[-0.5712207  -0.8207965   0.26171544]
66,[-0.5712207  -0.8207965   0.26171544],[-1.9256428],-4.757677466106862,[-0.5972987 -0.8020189 -0.6427284]
67,[-0.5972987 -0.8020189 -0.6427284],[-1.7788719],-4.932663903346296,[-0.6561325 -0.7546457 -1.5110734]
68,[-0.6561325 -0.7546457 -1.5110734],[0.61899495],-5.456702292222326,[-0.7276521 -0.6859464 -1.9842083]
69,[-0.7276521 -0.6859464 -1.9842083],[-1.29113],-6.086887886669616,[-0.8131302  -0.58208185 -2.6923375 ]
70,[-0.8131302  -0.58208185 -2.6923375 ],[-1.4137068],-7.0788091206371035,[-0.8985953  -0.43877852 -3.340955  ]
71,[-0.8985953  -0.43877852 -3.340955  ],[0.85522825],-8.338799689029344,[-0.96183884 -0.27361664 -3.5417547 ]
72,[-0.96183884 -0.27361664 -3.5417547 ],[-0.5268133],-9.459705218509848,[-0.996317   -0.08574628 -3.8259892 ]
73,[-0.996317   -0.08574628 -3.8259892 ],[0.9302393],-10.80223740824384,[-0.99483436  0.10151129 -3.750763  ]
