,s,a,r,s1
45,[ 0.06381999 -0.1461274   1.76671645 -3.94305559],[1.7639421],1.0,[ 0.1454288  -0.3272973   2.30813453 -5.10877306]
46,[-0.00510789  0.00970232 -0.00275362 -0.00486369],[-1.0818324],1.0,[-0.01243997  0.02639765 -0.36285231  0.83111298]
47,[-0.01243997  0.02639765 -0.36285231  0.83111298],[-0.8768078],1.0,[-0.03271574  0.07262831 -0.65063799  1.47980779]
48,[-0.03271574  0.07262831 -0.65063799  1.47980779],[1.6454818],1.0,[-0.04775375  0.10643331 -0.10413659  0.23594953]
49,[-0.04775375  0.10643331 -0.10413659  0.23594953],[-1.619586],1.0,[-0.06285075  0.14267294 -0.64885838  1.56247865]
50,[-0.06285075  0.14267294 -0.64885838  1.56247865],[1.4358639],1.0,[-0.07938866  0.184773   -0.18090815  0.56718938]
51,[-0.07938866  0.184773   -0.18090815  0.56718938],[1.1795889],1.0,[-0.07918586  0.19339269  0.18970511 -0.12437591]
52,[-0.07918586  0.19339269  0.18970511 -0.12437591],[1.7430321],1.0,[-0.06057094  0.16704395  0.74030499 -1.1853483 ]
53,[-0.06057094  0.16704395  0.74030499 -1.1853483 ],[1.861181],1.0,[-0.01918884  0.09696368  1.32908852 -2.32038703]
54,[-0.01918884  0.09696368  1.32908852 -2.32038703],[1.722911],1.0,[ 0.04486641 -0.01687788  1.87385484 -3.37962298]
55,[ 0.04486641 -0.01687788  1.87385484 -3.37962298],[-1.8374684],1.0,[ 0.10706569 -0.11960401  1.2408194  -1.80164733]
56,[ 0.10706569 -0.11960401  1.2408194  -1.80164733],[1.0238694],1.0,[ 0.16336652 -0.2072618   1.57341458 -2.58271704]
57,[-0.00087148  0.00889978  0.00101557  0.00977644],[-2.6966944],1.0,[-0.01878816  0.05094137 -0.89420083  2.07069232]
58,[-0.01878816  0.05094137 -0.89420083  2.07069232],[-2.3667731],1.0,[-0.07000161  0.16821198 -1.66334549  3.78183531]
59,[-0.07000161  0.16821198 -1.66334549  3.78183531],[1.4474114],1.0,[-0.12660474  0.2964163  -1.17242895  2.67759482]
60,[-0.0026147  -0.0055251   0.00170127 -0.00737002],[-2.7311358],1.0,[-0.02070517  0.03605719 -0.90365449  2.0650843 ]
61,[-0.02070517  0.03605719 -0.90365449  2.0650843 ],[1.1155487],1.0,[-0.04919295  0.09965789 -0.52357819  1.14164303]
62,[-0.04919295  0.09965789 -0.52357819  1.14164303],[0.59238315],1.0,[-0.06625214  0.13712062 -0.33084002  0.74507711]
63,[-0.06625214  0.13712062 -0.33084002  0.74507711],[-2.5733936],1.0,[-0.09664326  0.20783992 -1.18475094  2.76736186]
64,[-0.00771057 -0.00573627  0.00903223  0.00676959],[2.328041],1.0,[ 0.00814473 -0.04133031  0.78152932 -1.76810181]
65,[ 0.00814473 -0.04133031  0.78152932 -1.76810181],[1.1678526],1.0,[ 0.04695507 -0.12842666  1.15852745 -2.58938113]
66,[ 0.04695507 -0.12842666  1.15852745 -2.58938113],[-0.4532084],1.0,[ 0.09009962 -0.22444999  1.00106136 -2.23647715]
67,[-0.00730277  0.00293652  0.00099567  0.00871593],[-0.37351555],1.0,[-0.00975698  0.00912049 -0.12337663  0.29765151]
68,[-0.00975698  0.00912049 -0.12337663  0.29765151],[0.62189156],1.0,[-0.01053498  0.01132815  0.08369181 -0.18011305]
69,[-0.01053498  0.01132815  0.08369181 -0.18011305],[-1.9645392],1.0,[-0.02031115  0.03484503 -0.57052159  1.33898804]
70,[-0.02031115  0.03484503 -0.57052159  1.33898804],[-1.7434639],1.0,[-0.05457626  0.11413087 -1.14135806  2.61959979]
71,[-0.05457626  0.11413087 -1.14135806  2.61959979],[0.50034523],1.0,[-0.09669834  0.21035816 -0.96722159  2.21734458]
72,[-0.00152373  0.00163639  0.00310726 -0.00659215],[0.60145944],1.0,[ 0.00259296 -0.0077823   0.2022037  -0.45984531]
73,[ 0.00259296 -0.0077823   0.2022037  -0.45984531],[-1.1379629],1.0,[ 0.00305526 -0.00822133 -0.17770856  0.42537534]
