,s,a,r,s1
0,[-0.0020233   0.00839278  0.00255588 -0.0062423 ],[-0.6399303],1.0,[-0.00620143  0.01821741 -0.2108737   0.49240238]
1,[-0.00620143  0.01821741 -0.2108737   0.49240238],[-2.8601155],1.0,[-0.03361733  0.08160106 -1.15706664  2.65618121]
2,[-0.03361733  0.08160106 -1.15706664  2.65618121],[2.5437937],1.0,[-0.06278353  0.14745688 -0.30664227  0.68239856]
3,[-0.06278353  0.14745688 -0.30664227  0.68239856],[-1.3336656],1.0,[-0.08406176  0.19731373 -0.75566623  1.80114247]
4,[-0.08406176  0.19731373 -0.75566623  1.80114247],[-0.91921526],1.0,[-0.12038595  0.28488144 -1.05933025  2.57698013]
5,[-0.00524634  0.00930537  0.00873665 -0.00931438],[2.841825],1.0,[ 0.0139794  -0.03445644  0.94993427 -2.15690466]
6,[ 0.0139794  -0.03445644  0.94993427 -2.15690466],[-0.6020311],1.0,[ 0.04770027 -0.10934433  0.73839421 -1.61044753]
7,[ 0.04770027 -0.10934433  0.73839421 -1.61044753],[0.07478064],1.0,[ 0.07769219 -0.17516637  0.76211967 -1.69187152]
8,[ 0.07769219 -0.17516637  0.76211967 -1.69187152],[1.0745233],1.0,[ 0.11529099 -0.26039999  1.11645827 -2.56784896]
9,[ 0.00395856 -0.00038065 -0.00684952  0.00329583],[0.32176858],1.0,[ 0.00582293 -0.00516778  0.0997822  -0.24018389]
10,[ 0.00582293 -0.00516778  0.0997822  -0.24018389],[-2.5915792],1.0,[-0.00745281  0.02527945 -0.76101286  1.74053285]
11,[-0.00745281  0.02527945 -0.76101286  1.74053285],[-2.9096715],1.0,[-0.05698088  0.13767576 -1.71184849  3.86280754]
12,[-0.05698088  0.13767576 -1.71184849  3.86280754],[-0.5976538],1.0,[-0.1288172   0.29850463 -1.87926977  4.1953977 ]
13,[-0.00512403  0.00819136 -0.0063599  -0.00119916],[-2.3206844],1.0,[-0.02083511  0.04401872 -0.77696336  1.77409889]
14,[-0.02083511  0.04401872 -0.77696336  1.77409889],[-1.453321],1.0,[-0.06136357  0.13582682 -1.24845506  2.81565141]
15,[-0.06136357  0.13582682 -1.24845506  2.81565141],[2.1747534],1.0,[-0.09675183  0.2150389  -0.52654992  1.1907583 ]
16,[-0.00578036  0.00336553  0.00327934 -0.00739916],[0.09003656],1.0,[-0.00506282  0.00181371  0.03253021 -0.06962386]
17,[-0.00506282  0.00181371  0.03253021 -0.06962386],[-2.9582272],1.0,[-0.02345587  0.04464489 -0.94927097  2.18710702]
18,[-0.02345587  0.04464489 -0.94927097  2.18710702],[2.2123222],1.0,[-0.04648764  0.09639574 -0.20648518  0.43746102]
19,[-0.04648764  0.09639574 -0.20648518  0.43746102],[-1.6393479],1.0,[-0.06575786  0.14051879 -0.75522962  1.75639876]
20,[-0.06575786  0.14051879 -0.75522962  1.75639876],[-1.9794242],1.0,[-0.10898306  0.24122571 -1.40268897  3.26591269]
21,[-0.00654554 -0.00307303 -0.00894928  0.00933819],[2.009334],1.0,[ 0.00646673 -0.03361472  0.65769921 -1.52071192]
22,[ 0.00646673 -0.03361472  0.65769921 -1.52071192],[-2.3865583],1.0,[ 0.01674675 -0.0565446  -0.14022214  0.34282158]
23,[ 0.01674675 -0.0565446  -0.14022214  0.34282158],[2.8350475],1.0,[ 0.03015078 -0.08800368  0.80716228 -1.88895841]
24,[ 0.03015078 -0.08800368  0.80716228 -1.88895841],[1.038242],1.0,[ 0.06917244 -0.17871422  1.14332003 -2.64952493]
25,[ 0.06917244 -0.17871422  1.14332003 -2.64952493],[0.07546072],1.0,[ 0.11524546 -0.28603324  1.16137902 -2.73382273]
26,[-0.00888994  0.00861951 -0.00964172  0.00278276],[2.9962056],1.0,[ 0.01063167 -0.03706399  0.98293097 -2.26369558]
27,[ 0.01063167 -0.03706399  0.98293097 -2.26369558],[-0.87164277],1.0,[ 0.04387038 -0.11201431  0.68171353 -1.51014629]
28,[ 0.04387038 -0.11201431  0.68171353 -1.51014629],[-0.8448672],1.0,[ 0.06554156 -0.16010605  0.40394919 -0.91357301]
29,[ 0.06554156 -0.16010605  0.40394919 -0.91357301],[2.4857836],1.0,[ 0.09824892 -0.23622443  1.22727086 -2.86920652]
30,[ 0.00562701 -0.00254728  0.0028412   0.00538636],[-2.5914493],1.0,[-0.01149376  0.03745192 -0.85643951  1.97429807]
31,[-0.01149376  0.03745192 -0.85643951  1.97429807],[-0.9551944],1.0,[-0.05185125  0.12924179 -1.16134579  2.6213893 ]
32,[-0.05185125  0.12924179 -1.16134579  2.6213893 ],[-1.1202618],1.0,[-0.10544879  0.2501334  -1.51709723  3.42656761]
33,[ 0.00600437  0.00682953 -0.00950866  0.00668827],[1.8434477],1.0,[ 0.01786861 -0.02103668  0.60106763 -1.38589293]
34,[ 0.01786861 -0.02103668  0.60106763 -1.38589293],[2.379828],1.0,[ 0.05754372 -0.11152364  1.38047902 -3.1273395 ]
35,[ 0.05754372 -0.11152364  1.38047902 -3.1273395 ],[1.11315],1.0,[ 0.11971138 -0.25136751  1.72638367 -3.87138076]
36,[ 0.00896799 -0.00769698  0.00889166 -0.00208024],[-0.08923703],1.0,[ 0.00874289 -0.00654606 -0.02007272  0.05899441]
37,[ 0.00874289 -0.00654606 -0.02007272  0.05899441],[-1.9677193],1.0,[-0.00512914  0.02585279 -0.67178231  1.54628252]
38,[-0.00512914  0.02585279 -0.67178231  1.54628252],[1.2258942],1.0,[-0.02367198  0.06746422 -0.25781538  0.55706624]
39,[-0.02367198  0.06746422 -0.25781538  0.55706624],[1.3854806],1.0,[-0.02485241  0.06941388  0.19718361 -0.44506339]
40,[-0.02485241  0.06941388  0.19718361 -0.44506339],[-1.7595954],1.0,[-0.02888075  0.0807914  -0.39650557  0.99559036]
41,[-0.02888075  0.0807914  -0.39650557  0.99559036],[-0.42978874],1.0,[-0.04761714  0.12773831 -0.54046125  1.35525535]
42,[-0.04761714  0.12773831 -0.54046125  1.35525535],[0.43106174],1.0,[-0.06645025  0.17658631 -0.40262313  1.10092965]
43,[-0.06645025  0.17658631 -0.40262313  1.10092965],[1.5224209],1.0,[-0.07275156  0.20051248  0.08521498  0.11551088]
44,[-0.00700274  0.00186548 -0.00136109 -0.00965304],[1.9981346],1.0,[ 0.00622483 -0.02912446  0.66092457 -1.52451098]
