,s,a,r,s1
562,[-0.5504431   0.00329818],[-0.25054574],-0.006277316789606857,[-0.54731965  0.00312347]
563,[-0.54731965  0.00312347],[-0.26668206],-0.007111932036460988,[-0.54441845  0.00290121]
564,[-0.54441845  0.00290121],[-0.93309915],-0.0870674024958035,[-0.54276085  0.0016576 ]
565,[-0.54276085  0.0016576 ],[-0.10363343],-0.001073988855566288,[-0.54111505  0.00164579]
566,[-0.54111505  0.00164579],[-0.4360039],-0.01900993952464072,[-0.539992    0.00112309]
567,[-0.539992    0.00112309],[0.63058496],-0.039763738574407625,[-0.5378001   0.00219187]
568,[-0.5378001   0.00219187],[-0.05751468],-0.00033079386929701915,[-0.535588    0.00221208]
569,[-0.535588    0.00221208],[0.80219984],-0.06435245841714732,[-0.53208274  0.00350528]
570,[-0.53208274  0.00350528],[-0.735786],-0.054138106833960725,[-0.5296175   0.00246522]
571,[-0.5296175   0.00246522],[-0.00716143],-5.128610751518968e-06,[-0.52711785  0.00249962]
572,[-0.52711785  0.00249962],[0.05503029],-0.00030283332316072834,[-0.5245093   0.00260855]
573,[-0.5245093   0.00260855],[0.10495506],-0.0011015565096134106,[-0.5217365   0.00277282]
574,[-0.5217365   0.00277282],[-0.4094824],-0.01676758274649979,[-0.51959187  0.00214463]
575,[-0.51959187  0.00214463],[-0.3534456],-0.012492378476696687,[-0.51800746  0.00158441]
576,[-0.51800746  0.00158441],[-0.07915264],-0.0006265141001623675,[-0.51658374  0.00142374]
577,[-0.51658374  0.00142374],[0.9931149],-0.09862771820941739,[-0.51372296  0.00286081]
578,[-0.51372296  0.00286081],[0.57725835],-0.03332272008724999,[-0.5100703   0.00365264]
579,[-0.5100703   0.00365264],[0.10183031],-0.0010369412262705659,[-0.5063664   0.00370395]
580,[-0.5063664   0.00370395],[0.39650577],-0.01572168280758355,[-0.50219685  0.00416952]
581,[-0.50219685  0.00416952],[-0.7753672],-0.06011942954167502,[-0.4993508   0.00284607]
582,[-0.4993508   0.00284607],[0.09135309],-0.0008345386799924804,[-0.4965494  0.0028014]
583,[-0.4965494  0.0028014],[0.2394107],-0.00573174825150069,[-0.49359155  0.00295786]
584,[-0.49359155  0.00295786],[-0.03833373],-0.00014694744864979378,[-0.49091592  0.00267561]
585,[-0.49091592  0.00267561],[0.24730505],-0.006115978799899247,[-0.4881141   0.00280184]
586,[-0.4881141   0.00280184],[-0.51603013],-0.026628709792717944,[-0.48635194  0.00176216]
587,[-0.48635194  0.00176216],[-0.3792199],-0.014380772469918668,[-0.48543736  0.00091456]
588,[-0.48543736  0.00091456],[0.0096919],-9.393284646708537e-06,[-0.48479384  0.00064352]
589,[-0.48479384  0.00064352],[0.26096237],-0.00681013570204101,[-0.48404926  0.00074458]
590,[-0.48404926  0.00074458],[-0.11049172],-0.00122084191657606,[-4.8376635e-01  2.8291572e-04]
591,[-4.8376635e-01  2.8291572e-04],[-0.6708001],-0.04499727605241475,[-0.48478767 -0.00102132]
592,[-0.48478767 -0.00102132],[0.5214559],-0.02719162389371519,[-0.48531723 -0.00052956]
593,[-0.48531723 -0.00052956],[-0.13798442],-0.0019039701495523254,[-0.48634025 -0.00102302]
594,[-0.48634025 -0.00102302],[0.32900313],-0.010824305654215128,[-0.4871486  -0.00080837]
595,[-0.4871486  -0.00080837],[0.20226753],-0.004091215271343174,[-0.48792642 -0.0007778 ]
596,[-0.48792642 -0.0007778 ],[-0.11902734],-0.0014167507410858316,[-0.4891498  -0.00122337]
597,[-0.4891498  -0.00122337],[-0.4490984],-0.020168938026771246,[-0.49130473 -0.00215493]
598,[-0.49130473 -0.00215493],[-0.31908977],-0.010181828152100537,[-0.4941801  -0.00287539]
599,[-0.4941801  -0.00287539],[-0.04011488],-0.0001609203864855871,[-0.49733603 -0.00315592]
600,[-0.49733603 -0.00315592],[-0.24139608],-0.005827206957708975,[-0.50105083 -0.00371478]
601,[-0.50105083 -0.00371478],[0.3914678],-0.0153247046013405,[-0.5043474  -0.00329656]
602,[-0.5043474  -0.00329656],[-0.89037716],-0.07927714939715003,[-0.5091238  -0.00477643]
603,[-0.5091238  -0.00477643],[0.49802828],-0.02480321660370919,[-0.51326174 -0.00413791]
604,[-0.51326174 -0.00413791],[0.4992883],-0.024928879726913156,[-0.5167282 -0.0034665]
605,[-0.5167282 -0.0034665],[0.49981007],-0.024981010587290433,[-0.5194965  -0.00276831]
606,[-0.5194965  -0.00276831],[-0.6134665],-0.037634114813869246,[-0.5232158  -0.00371927]
607,[-0.5232158  -0.00371927],[0.44948697],-0.020203853701019625,[-0.5262637  -0.00304791]
608,[-0.5262637  -0.00304791],[0.9628503],-0.09270806475527459,[-0.52784735 -0.00158365]
609,[-0.52784735 -0.00158365],[0.79539955],-0.06326604387684398,[-5.2820605e-01 -3.5868923e-04]
610,[-5.2820605e-01 -3.5868923e-04],[-0.4818057],-0.02321367441010205,[-0.5292529  -0.00104684]
611,[-0.5292529  -0.00104684],[0.32644755],-0.010656800060417382,[-5.2976763e-01 -5.1476917e-04]
612,[-5.2976763e-01 -5.1476917e-04],[0.21506219],-0.004625174389954823,[-5.2991354e-01 -1.4591211e-04]
613,[-5.2991354e-01 -1.4591211e-04],[-0.47414258],-0.022481118733017613,[-0.53072333 -0.00080977]
614,[-0.53072333 -0.00080977],[0.6753607],-0.04561120475855205,[-5.304666e-01  2.567031e-04]
615,[-5.304666e-01  2.567031e-04],[-0.06538603],-0.0004275332539621424,[-5.302565e-01  2.101292e-04]
616,[-5.302565e-01  2.101292e-04],[0.39357907],-0.015490448103577492,[-0.5294061   0.00085043]
617,[-0.5294061   0.00085043],[0.9473178],-0.08974109745310876,[-0.5270911   0.00231496]
618,[-0.5270911   0.00231496],[-0.28022113],-0.007852388417799094,[-0.52517027  0.00192082]
619,[-0.52517027  0.00192082],[0.16012615],-0.0025640383803139603,[-0.5229975   0.00217279]
620,[-0.5229975   0.00217279],[-0.6975396],-0.04865615320054282,[-0.5218755   0.00112197]
621,[-0.5218755   0.00112197],[0.6505211],-0.04231777009823965,[-0.51979065  0.00208483]
622,[-0.51979065  0.00208483],[0.77050805],-0.05936826565303477,[-0.5165786   0.00321203]
623,[-0.5165786   0.00321203],[0.5643919],-0.03185382292358874,[-0.51257265  0.00400597]
624,[-0.51257265  0.00400597],[-0.9243392],-0.0854402910854347,[-0.5100359   0.00253678]
625,[-0.5100359   0.00253678],[-0.1644853],-0.002705541574112491,[-0.5078475   0.00218836]
626,[-0.5078475   0.00218836],[-0.70199233],-0.04927932354999918,[-0.5068302   0.00101728]
627,[-0.5068302   0.00101728],[0.2837118],-0.008049238037428097,[-0.5055131   0.00131714]
628,[-0.5055131   0.00131714],[0.8611075],-0.07415061751393957,[-0.50303984  0.00247322]
629,[-0.50303984  0.00247322],[-0.8616722],-0.07424790192250477,[-0.5020132   0.00102662]
630,[-0.5020132   0.00102662],[-0.2424255],-0.0058770123703144606,[-5.015120e-01  5.012037e-04]
631,[-5.015120e-01  5.012037e-04],[-0.06028678],-0.00036344952677966894,[-5.0126672e-01  2.4524383e-04]
632,[-5.0126672e-01  2.4524383e-04],[0.44612697],-0.01990292712811206,[-0.50051963  0.00074707]
633,[-0.50051963  0.00074707],[0.2525131],-0.006376287104390955,[-0.49956676  0.00095288]
634,[-0.49956676  0.00095288],[0.05953855],-0.00035448394600662433,[-0.49870464  0.00086211]
635,[-0.49870464  0.00086211],[-0.24007931],-0.005763807677860999,[-4.9838918e-01  3.1545592e-04]
636,[-4.9838918e-01  3.1545592e-04],[-0.24354352],-0.005931344641153325,[-4.9862793e-01 -2.3875110e-04]
637,[-4.9862793e-01 -2.3875110e-04],[0.3715872],-0.01380770375810494,[-4.9849641e-01  1.3152345e-04]
638,[-4.9849641e-01  1.3152345e-04],[-0.09188073],-0.000844206878139625,[-4.9869081e-01 -1.9438747e-04]
639,[-4.9869081e-01 -1.9438747e-04],[0.8018053],-0.06428917670139392,[-0.49786913  0.00082168]
640,[-0.49786913  0.00082168],[-0.11369094],-0.0012925630412419231,[-4.9741077e-01  4.5836746e-04]
641,[-4.9741077e-01  4.5836746e-04],[-0.28413874],-0.00807348230624747,[-4.9757484e-01 -1.6404867e-04]
642,[-4.9757484e-01 -1.6404867e-04],[0.19588692],-0.0038371687332228403,[-4.9764004e-01 -6.5199616e-05]
643,[-4.9764004e-01 -6.5199616e-05],[0.48342752],-0.023370217150863938,[-4.971746e-01  4.654479e-04]
644,[-4.971746e-01  4.654479e-04],[-0.19474939],-0.003792732300402779,[-4.9719924e-01 -2.4650064e-05]
645,[-4.9719924e-01 -2.4650064e-05],[0.40167305],-0.01613412380798005,[-4.9681917e-01  3.8006989e-04]
646,[-4.9681917e-01  3.8006989e-04],[-0.9346554],-0.0873580768964132,[-0.49804172 -0.00122254]
647,[-0.49804172 -0.00122254],[-0.7714333],-0.059510932681309116,[-0.5006129  -0.00257118]
648,[-0.5006129  -0.00257118],[0.91689456],-0.08406956251570961,[-0.501981  -0.0013681]
649,[-0.501981  -0.0013681],[0.37281987],-0.01389946559964992,[-0.5029519  -0.00097089]
650,[-0.5029519  -0.00097089],[-0.8056528],-0.06490764296718546,[-0.50528604 -0.00233412]
651,[-0.50528604 -0.00233412],[-0.34872258],-0.012160743577580036,[-0.5082805  -0.00299448]
652,[-0.5082805  -0.00299448],[0.01486727],-2.2103581119398924e-05,[-0.51136756 -0.00308703]
653,[-0.51136756 -0.00308703],[-0.79117596],-0.06259594020466608,[-0.51573306 -0.0043655 ]
654,[-0.51573306 -0.0043655 ],[0.20945418],-0.004387105302102157,[-0.5198434  -0.00411031]
655,[-0.5198434  -0.00411031],[0.3460554],-0.011975433187571128,[-0.5234628  -0.00361939]
656,[-0.5234628  -0.00361939],[-0.50156593],-0.025156838537441217,[-0.52783555 -0.00437276]
657,[-0.52783555 -0.00437276],[-0.48160926],-0.02319474745743344,[-0.53289896 -0.0050634 ]
658,[-0.53289896 -0.0050634 ],[0.13519637],-0.0018278059236292998,[-0.5376898  -0.00479086]
659,[-0.5376898  -0.00479086],[-0.3075616],-0.00945941415890994,[-0.54283637 -0.00514655]
660,[-0.54283637 -0.00514655],[0.15452357],-0.0023877532562233354,[-0.54760695 -0.00477057]
661,[-0.54760695 -0.00477057],[0.2100407],-0.004411709709143375,[-0.55188257 -0.0042756 ]
662,[-0.55188257 -0.0042756 ],[-0.3114193],-0.009698198551078363,[-0.5564134  -0.00453086]
663,[-0.5564134  -0.00453086],[-0.29178664],-0.008513944379748839,[-0.56113625 -0.00472282]
664,[-0.56113625 -0.00472282],[-0.08859324],-0.0007848762980358971,[-0.565711   -0.00457478]
665,[-0.565711   -0.00457478],[0.15262125],-0.002329324727170978,[-0.56974185 -0.00403084]
666,[-0.56974185 -0.00403084],[0.7702536],-0.05932906062949464,[-0.57227236 -0.00253049]
